code,system
105229.0,med
107494.0,med
11761.0,med
12500.0,med
162.0,med
17094.0,med
172.0,med
18755.0,med
20222.0,med
21104.0,med
21503.0,med
21633.0,med
22501.0,med
24136.0,med
26368.0,med
28456.0,med
2945.0,med
30210.0,med
30272.0,med
30975.0,med
3193.0,med
32149.0,med
3437.0,med
3733.0,med
41149.0,med
42008.0,med
4231.0,med
476.0,med
48257.0,med
59107.0,med
60169.0,med
65839.0,med
66711.0,med
8014.0,med
93511.0,med
96880.0,med
M16..00,readv2
M16y.00,readv2
M16z.00,readv2
M160.11,readv2
M160200,readv2
N045200,readv2
M161.00,readv2
Myu3000,readv2
Nyu1300,readv2
M161D00,readv2
M166.00,readv2
L40,icd10
M07.1,icd10
M09.0,icd10
M07.2,icd10
